SITE_ID,NAME,URL,WBID,AG,BIO,LAT,LON,SCORE
90,Southeastern Bat Maternity Caves Florida Forever BOT Project - Sneads Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,168481.4844,0,29.67685318,30.6732235,-84.88180542,0
3476,Southeastern Bat Maternity Caves Florida Forever BOT Project - Sweet Gum Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,0,0,216.8849335,28.70713043,-82.35947418,0
982,South Walton County Ecosystem Florida Forever BOT Project - Topsail Hill,http://www.dep.state.fl.us/lands/FFAnnual/South_Walton_County_Ecosystem.pdf,450534.9688,0,11.95071793,30.3667469,-86.27364349,0
1031,Hixtown Swamp Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Hixtown_Swamp.pdf,737291.6875,7092169,0.110171512,30.46247482,-83.52196503,0
3460,Southeastern Bat Maternity Caves Florida Forever BOT Project - Jennings Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,311137.7188,153.827301,6.428021908,29.15981102,-82.38140869,0
166,Dade County Archipelago Florida Forever BOT Project - Tropical Hammocks of the Redlands - Castellow Hammock Addition,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,1341.573486,317.8052368,25.56163216,-80.44511414,0
2957,Tiger Island/Little Tiger Island Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Tiger_Island_Little_Tiger_Island.pdf,5315844.5,0,1.128701091,30.69038391,-81.47858429,0
1006,South Walton County Ecosystem Florida Forever BOT Project - Point Washington,http://www.dep.state.fl.us/lands/FFAnnual/South_Walton_County_Ecosystem.pdf,8502561,57675.41016,5.940850735,30.37034416,-86.21779633,0
2469,Hosford Chapman's Rhododendron Protection Zone Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Hosford_Chapmans_Rhododendron_Protection_Zone.pdf,13185301,40657.33984,1.285242081,30.41302681,-84.68039703,0
67,Florida's First Magnitude Springs Florida Forever BOT Project - Weekiwachee Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,580095.875,320.9797058,23.92785072,28.5231514,-82.5734787,0
3759,Florida's First Magnitude Springs Florida Forever BOT Project - Cypress Spring,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,51.10245514,30.65922928,-85.68461609,0
4751,Half Circle L Ranch Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Half_Circle_L_Ranch.pdf,41920212,21326186,0.088443175,26.46458435,-81.27175903,0
2593,Florida's First Magnitude Springs Florida Forever BOT Project - Fanning Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,4.071372509,29.58039856,-82.9347229,0
4759,San Felasco Conservation Corridor Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/San_Felasco_Conservation_Corridor.pdf,62371.57031,42558.20703,0.658060074,29.79081726,-82.40773773,0
522,Florida's First Magnitude Springs Florida Forever BOT Project - Troy Spring,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,11.19585419,30.00273705,-82.99090576,0
4333,Florida's First Magnitude Springs Florida Forever BOT Project - Gainer Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,513133.3438,4.727967739,30.41321564,-85.55452728,0
607,Florida's First Magnitude Springs Florida Forever BOT Project - Madison Blue Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,122.3246002,30.47554016,-83.24507904,0
3605,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Warea Archipelago - Schofield Sandhill,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,0,5977.278809,12.51365089,28.45061874,-81.67605591,0
3265,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Lake Mcleod,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,42633.69141,3659.306152,60.86098099,27.96312904,-81.74271393,0
121,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Ridge Scrub,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,0,0,0,28.20855522,-81.55122375,0
4163,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Lake June West,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,10547.18945,0,51.39498138,27.30030632,-81.41717529,0
571,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Flamingo Villas,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,0,8958.855469,31.82175255,27.44027901,-81.38677216,0
3356,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Gould Road,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,69925.83594,204538.5156,35.86286163,27.12998199,-81.32555389,0
322,Hall Ranch Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Hall_Ranch.pdf,1892478.625,3777291.5,0.26297766,26.93796539,-81.78578186,0
1797,Dade County Archipelago Florida Forever BOT Project - Camp Owaissa Bauer Pineland Addition,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,4359.39209,6561.010254,25.52523041,-80.46688843,0
3910,Dade County Archipelago Florida Forever BOT Project - Whispering Pines,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,90306.74219,0,77.51358795,25.59070587,-80.32556152,0
4765,Mill Creek Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Mill_Creek.pdf,0,7394352,0.221119389,29.41156006,-82.01205444,0
371,Brevard Coastal Scrub Ecosystem Florida Forever BOT Project - Scrub Jay Refugia - Dicerandra Scrub,http://www.dep.state.fl.us/lands/FFAnnual/Brevard_Coastal_Scrub_Ecosystem.pdf,18415.94141,0,54.30077744,28.55537605,-80.81173706,0
4654,Okeechobee Battlefield Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Okeechobee_Battlefield.pdf,361842.375,290642.25,5.52726841,27.20576286,-80.77459717,0
214,Florida's First Magnitude Springs Florida Forever BOT Project - River Sink Spring,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,27.76605225,30.27604103,-84.342453,0
1019,Dickerson Bay/Bald Point Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Dickerson_Bay_Bald_Point.pdf,12711512,11729.21484,2.121548653,29.99303818,-84.375,0
4780,St. Joe Timberland Florida Forever BOT Project - Dickerson Bay/Bald Point,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,2320735.5,0,2.136421919,29.93534851,-84.38677216,0
4781,St. Joe Timberland Florida Forever BOT Project - Florida's First Magnitude Springs - St. Marks Springs,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,0,0,1.727716208,30.28806877,-84.15062714,0
4784,St. Joe Timberland Florida Forever BOT Project - Tates Hell/Carrabelle Tract,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,1277606.875,0,1.95608604,29.95079803,-84.53448486,0
4777,St. Joe Timberland Florida Forever BOT Project - Sand Mountain,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,0,882.5056763,5.279174805,30.51199341,-85.51029205,0
4504,Sand Mountain Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Sand_Mountain.pdf,0,2268028.5,1.307793379,30.53631401,-85.50611115,0
1442,Devil's Garden Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Devils_Garden.pdf,91525624,200625728,0.024246676,26.56660271,-81.14875031,0
4785,St. Joe Timberland Florida Forever BOT Project - Apalachicola River,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,1535498.875,324.0296326,17.55381775,30.63382912,-84.86845398,0
555,Millstone Plantation Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Millstone_Plantation.pdf,224873.0313,90737.90625,2.964690685,30.56080437,-84.23480988,0
1638,Longleaf Pine Ecosystem Florida Forever BOT Project - Bell Ridge Sandhills,http://www.dep.state.fl.us/lands/FFAnnual/Longleaf_Pine_Ecosystem.pdf,0,422862.1563,0.146032318,29.7605896,-82.71240234,0
2379,Carr Farm/Price's Scrub Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Carr_Farm_Prices_Scrub.pdf,0,171244.2813,2.432135105,29.48722649,-82.29562378,0
4788,Gulf Hammock Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Gulf_Hammock.pdf,84921784,13312654,0.231745407,29.1121254,-82.69808197,0
4789,Bear Creek Forest Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Bear_Creek_Forest.pdf,88703456,571877.75,0.066438399,30.27598953,-85.35309601,0
2913,Etoniah/Cross Florida Greenway Florida Forever BOT Project - Cross Florida Greenway FPL Additions,http://www.dep.state.fl.us/lands/FFAnnual/Etoniah_Cross_Florida_Greenway.pdf,0,51269.35156,2.961198807,29.41836929,-81.91751862,0
3339,Southeastern Bat Maternity Caves Florida Forever BOT Project - Geromes Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,1057786.75,605.7980347,6.617591381,30.83761406,-85.25706482,0
3557,Middle Chipola River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Middle_Chipola_River.pdf,34208920,3571583.25,2.615437031,30.67401886,-85.20796204,0
3191,Heather Island/Ocklawaha River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Heather_Island_Ocklawaha_River.pdf,24962936,785434.25,0.324862242,29.18974113,-81.97668457,0
4794,Pine Island Slough Ecosystem Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Pine_Island_Slough_Ecosystem.pdf,0,148113888,0.035320114,27.68107605,-81.00527954,0
2935,Brevard Coastal Scrub Ecosystem Florida Forever BOT Project - Scrub Jay Refugia - Malabar Scrub Sanctuary,http://www.dep.state.fl.us/lands/FFAnnual/Brevard_Coastal_Scrub_Ecosystem.pdf,154.4095154,857.1904907,103.291832,28.00253105,-80.5765152,0
